TableName,TableType,DataLength,MaxDataLength,IndexLength,Free,CreateDate
events_transactions_summary_by_account_by_event_name,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_transactions_summary_by_host_by_event_name,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_transactions_summary_by_thread_by_event_name,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_transactions_summary_by_user_by_event_name,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_transactions_summary_global_by_event_name,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_waits_current,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_waits_history,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_waits_history_long,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_waits_summary_by_account_by_event_name,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_waits_summary_by_host_by_event_name,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_waits_summary_by_instance,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_waits_summary_by_thread_by_event_name,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_waits_summary_by_user_by_event_name,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_waits_summary_global_by_event_name,BASE TABLE,0,0,0,0,2018/5/25 15:45
file_instances,BASE TABLE,0,0,0,0,2018/5/25 15:45
file_summary_by_event_name,BASE TABLE,0,0,0,0,2018/5/25 15:45
file_summary_by_instance,BASE TABLE,0,0,0,0,2018/5/25 15:45
global_status,BASE TABLE,0,0,0,0,2018/5/25 15:45
global_variables,BASE TABLE,0,0,0,0,2018/5/25 15:45
host_cache,BASE TABLE,0,0,0,0,2018/5/25 15:45
hosts,BASE TABLE,0,0,0,0,2018/5/25 15:45
memory_summary_by_account_by_event_name,BASE TABLE,0,0,0,0,2018/5/25 15:45
memory_summary_by_host_by_event_name,BASE TABLE,0,0,0,0,2018/5/25 15:45
memory_summary_by_thread_by_event_name,BASE TABLE,0,0,0,0,2018/5/25 15:45
memory_summary_by_user_by_event_name,BASE TABLE,0,0,0,0,2018/5/25 15:45
memory_summary_global_by_event_name,BASE TABLE,0,0,0,0,2018/5/25 15:45
metadata_locks,BASE TABLE,0,0,0,0,2018/5/25 15:45
mutex_instances,BASE TABLE,0,0,0,0,2018/5/25 15:45
objects_summary_global_by_type,BASE TABLE,0,0,0,0,2018/5/25 15:45
performance_timers,BASE TABLE,0,0,0,0,2018/5/25 15:45
persisted_variables,BASE TABLE,0,0,0,0,2018/5/25 15:45
prepared_statements_instances,BASE TABLE,0,0,0,0,2018/5/25 15:45
replication_applier_configuration,BASE TABLE,0,0,0,0,2018/5/25 15:45
replication_applier_filters,BASE TABLE,0,0,0,0,2018/5/25 15:45
replication_applier_global_filters,BASE TABLE,0,0,0,0,2018/5/25 15:45
replication_applier_status,BASE TABLE,0,0,0,0,2018/5/25 15:45
replication_applier_status_by_coordinator,BASE TABLE,0,0,0,0,2018/5/25 15:45
replication_applier_status_by_worker,BASE TABLE,0,0,0,0,2018/5/25 15:45
replication_connection_configuration,BASE TABLE,0,0,0,0,2018/5/25 15:45
replication_connection_status,BASE TABLE,0,0,0,0,2018/5/25 15:45
replication_group_member_stats,BASE TABLE,0,0,0,0,2018/5/25 15:45
replication_group_members,BASE TABLE,0,0,0,0,2018/5/25 15:45
rwlock_instances,BASE TABLE,0,0,0,0,2018/5/25 15:45
session_account_connect_attrs,BASE TABLE,0,0,0,0,2018/5/25 15:45
session_connect_attrs,BASE TABLE,0,0,0,0,2018/5/25 15:45
session_status,BASE TABLE,0,0,0,0,2018/5/25 15:45
session_variables,BASE TABLE,0,0,0,0,2018/5/25 15:45
setup_actors,BASE TABLE,0,0,0,0,2018/5/25 15:45
setup_consumers,BASE TABLE,0,0,0,0,2018/5/25 15:45
setup_instruments,BASE TABLE,0,0,0,0,2018/5/25 15:45
setup_objects,BASE TABLE,0,0,0,0,2018/5/25 15:45
setup_threads,BASE TABLE,0,0,0,0,2018/5/25 15:45
setup_timers,BASE TABLE,0,0,0,0,2018/5/25 15:45
socket_instances,BASE TABLE,0,0,0,0,2018/5/25 15:45
socket_summary_by_event_name,BASE TABLE,0,0,0,0,2018/5/25 15:45
socket_summary_by_instance,BASE TABLE,0,0,0,0,2018/5/25 15:45
status_by_account,BASE TABLE,0,0,0,0,2018/5/25 15:45
status_by_host,BASE TABLE,0,0,0,0,2018/5/25 15:45
status_by_thread,BASE TABLE,0,0,0,0,2018/5/25 15:45
status_by_user,BASE TABLE,0,0,0,0,2018/5/25 15:45
table_handles,BASE TABLE,0,0,0,0,2018/5/25 15:45
table_io_waits_summary_by_index_usage,BASE TABLE,0,0,0,0,2018/5/25 15:45
table_io_waits_summary_by_table,BASE TABLE,0,0,0,0,2018/5/25 15:45
table_lock_waits_summary_by_table,BASE TABLE,0,0,0,0,2018/5/25 15:45
threads,BASE TABLE,0,0,0,0,2018/5/25 15:45
user_defined_functions,BASE TABLE,0,0,0,0,2018/5/25 15:45
user_variables_by_thread,BASE TABLE,0,0,0,0,2018/5/25 15:45
users,BASE TABLE,0,0,0,0,2018/5/25 15:45
variables_by_thread,BASE TABLE,0,0,0,0,2018/5/25 15:45
variables_info,BASE TABLE,0,0,0,0,2018/5/25 15:45
host_summary,VIEW,0,0,0,0,2018/5/25 15:45
host_summary_by_file_io,VIEW,0,0,0,0,2018/5/25 15:45
host_summary_by_file_io_type,VIEW,0,0,0,0,2018/5/25 15:45
host_summary_by_stages,VIEW,0,0,0,0,2018/5/25 15:45
host_summary_by_statement_latency,VIEW,0,0,0,0,2018/5/25 15:45
host_summary_by_statement_type,VIEW,0,0,0,0,2018/5/25 15:45
innodb_buffer_stats_by_schema,VIEW,0,0,0,0,2018/5/25 15:45
innodb_buffer_stats_by_table,VIEW,0,0,0,0,2018/5/25 15:45
innodb_lock_waits,VIEW,0,0,0,0,2018/5/25 15:45
io_by_thread_by_latency,VIEW,0,0,0,0,2018/5/25 15:45
io_global_by_file_by_bytes,VIEW,0,0,0,0,2018/5/25 15:45
io_global_by_file_by_latency,VIEW,0,0,0,0,2018/5/25 15:45
io_global_by_wait_by_bytes,VIEW,0,0,0,0,2018/5/25 15:45
io_global_by_wait_by_latency,VIEW,0,0,0,0,2018/5/25 15:45
latest_file_io,VIEW,0,0,0,0,2018/5/25 15:45
memory_by_host_by_current_bytes,VIEW,0,0,0,0,2018/5/25 15:45
memory_by_thread_by_current_bytes,VIEW,0,0,0,0,2018/5/25 15:45
memory_by_user_by_current_bytes,VIEW,0,0,0,0,2018/5/25 15:45
memory_global_by_current_bytes,VIEW,0,0,0,0,2018/5/25 15:45
memory_global_total,VIEW,0,0,0,0,2018/5/25 15:45
metrics,VIEW,0,0,0,0,2018/5/25 15:45
processlist,VIEW,0,0,0,0,2018/5/25 15:45
ps_check_lost_instrumentation,VIEW,0,0,0,0,2018/5/25 15:45
schema_auto_increment_columns,VIEW,0,0,0,0,2018/5/25 15:45
schema_index_statistics,VIEW,0,0,0,0,2018/5/25 15:45
schema_object_overview,VIEW,0,0,0,0,2018/5/25 15:45
schema_redundant_indexes,VIEW,0,0,0,0,2018/5/25 15:45
schema_table_lock_waits,VIEW,0,0,0,0,2018/5/25 15:45
schema_table_statistics,VIEW,0,0,0,0,2018/5/25 15:45
schema_table_statistics_with_buffer,VIEW,0,0,0,0,2018/5/25 15:45
schema_tables_with_full_table_scans,VIEW,0,0,0,0,2018/5/25 15:45
schema_unused_indexes,VIEW,0,0,0,0,2018/5/25 15:45
session,VIEW,0,0,0,0,2018/5/25 15:45
session_ssl_status,VIEW,0,0,0,0,2018/5/25 15:45
statement_analysis,VIEW,0,0,0,0,2018/5/25 15:45
statements_with_errors_or_warnings,VIEW,0,0,0,0,2018/5/25 15:45
statements_with_full_table_scans,VIEW,0,0,0,0,2018/5/25 15:45
statements_with_runtimes_in_95th_percentile,VIEW,0,0,0,0,2018/5/25 15:45
statements_with_sorting,VIEW,0,0,0,0,2018/5/25 15:45
statements_with_temp_tables,VIEW,0,0,0,0,2018/5/25 15:45
sys_config,BASE TABLE,16384,0,0,0,2018/5/25 15:45
user_summary,VIEW,0,0,0,0,2018/5/25 15:45
user_summary_by_file_io,VIEW,0,0,0,0,2018/5/25 15:45
user_summary_by_file_io_type,VIEW,0,0,0,0,2018/5/25 15:45
user_summary_by_stages,VIEW,0,0,0,0,2018/5/25 15:45
user_summary_by_statement_latency,VIEW,0,0,0,0,2018/5/25 15:45
user_summary_by_statement_type,VIEW,0,0,0,0,2018/5/25 15:45
version,VIEW,0,0,0,0,2018/5/25 15:45
wait_classes_global_by_avg_latency,VIEW,0,0,0,0,2018/5/25 15:45
wait_classes_global_by_latency,VIEW,0,0,0,0,2018/5/25 15:45
waits_by_host_by_latency,VIEW,0,0,0,0,2018/5/25 15:45
waits_by_user_by_latency,VIEW,0,0,0,0,2018/5/25 15:45
waits_global_by_latency,VIEW,0,0,0,0,2018/5/25 15:45
CTE,BASE TABLE,16384,0,0,0,2018/5/25 16:55
PTable0,BASE TABLE,13524,2.81475E+14,47104,0,2018/5/25 15:56
hibernate_sequence,BASE TABLE,9,2.53327E+15,1024,0,2018/5/25 15:45
user,BASE TABLE,588,2.81475E+14,2048,0,2018/5/25 15:45
users,BASE TABLE,16384,0,0,0,2018/5/25 15:45
